RowID	Key	WikidataID
1	..., Henry	
2	Abercrommy, Jecamiah	
3	Abernethy, William	
4	Adams, John	
5	Adams, Richard	
6	Adams, Thomas	
7	Afflock, James	
8	Aldrich, Edward	
9	Alexander, Sigismund, Sir	
10	Allen, Anthony	
11	Allen, Francis	
12	Alley, William	
13	Alston, Thomas, Sir	Q75407918
14	Alured, John	
15	Ames, Elizabeth	
16	Andrews, Capt	
17	Andrews, John	
18	Andrews, Theophilus	
19	Andrews, William	
20	Anselme, William	
21	Anthony, John	
22	Appleby, Thomas	
23	Armstrong, John	
24	Arnett, Hercules	
25	Ash, Edward	
26	Ash, Simeon	Q7517567
27	Atkinson, Hugh	
28	Austin, George	
29	Austin, Mr (chaplain)	
30	Austin, Mrs	
31	Aylet, James	
32	Aylworth, Walter	
33	Ayres, Robert	
34	Ayres, Thomas	
35	Ayscough, Edward	
36	Babington, Capt	
37	Bailey, Alexander	
38	Baines, Jeremy	
39	Baldwin, John (paymaster)	
40	Baldwin, John (provost marshall)	
41	Baldwin, John (secretary)	
42	Balfour, William, Major	
43	Balfour, William, Sir	Q8004988
44	Ballard, Thomas	
45	Bampfield, John	
46	Bampfield, William	
47	Barclay, Alexander	
48	Barclay, David	
49	Barclay, Henry	
50	Barclay, James	
51	Barclay, John	
52	Barke, Michael	
53	Barke, Nicholas	
54	Barker, John	
55	Barnardiston, Capt	
56	Barriffe, William	Q18811365
57	Barton, William	
58	Barwicke, Roger	
59	Basset, Bussy	
60	Baynard, Adam	
61	Beaton, Major	
62	Beaton, Richard	
63	Bedford, Earl of	Q1837471
64	Bedford, Samuel	
65	Behre, Hans	Q28053574
66	Bellye, Major	
67	Ben, William	
68	Berry, Edward	
69	Bickerton, William	
70	Bigges, John	
71	Billiard, Thomas	
72	Billingsley, Henry	
73	Billingsley, Robert	
74	Billingsley, Sarah	
75	Billot, George	
76	Bingley, Capt	
77	Bird, John	
78	Blackberry, Benjamin	
79	Blackborne, Mr	
80	Bladwell, J	
81	Bland, Michael	
82	Bland, Peter	
83	Blare, Gilbert	
84	Blare, William	
85	Blith, Capt	
86	Blockman, John	
87	Blundell, Henry	
88	Blunt, George	
89	Bond, Nicholas	
90	Borthick, George	
91	Bosa, Samuel	
92	Boswell, James	
93	Boswell, John	
94	Bowen, Morris	
95	Bower, Capt	
96	Bowles, Edward	Q5341970
97	Boyes, Edward, Sir	
98	Boyleston, Thomas	
99	Bradley, John	
100	Brake, John	
101	Brette, John	
102	Bretterige, Roger	
103	Bricknell, James	
104	Bridges, John (trooper)	
105	Bridges, John, Capt	
106	Bridges, Roger	
107	Broad, Matthew	
108	Broadhurst, Ellen	
109	Broadhurst, George	
110	Bromhall, John	
111	Brooke, Lord	Q7344964
112	Broomwich, Isaac	
113	Browne, Edward	
114	Browne, James	
115	Browne, John, Colonel	
116	Browne, John, Sir	
117	Browne, Richard	Q16190216
118	Browne, Thomas	
119	Browne, William	
120	Browning, Harman	
121	Bruce, John (wagoner)	
122	Bruce, Lt	
123	Brummage, Mrs	
124	Brummage, Thomas	
125	Buchan, William	
126	Buller, Anthony	
127	Bulmer, George	
128	Bulmer, Robert (scout)	
129	Bulmer, Robert, Mr	
130	Bulstrode, Henry	Q16160193
131	Burges, Cornelius	Q5171313
132	Burgess, John	
133	Burgh, Major	
134	Burghill, Robert	
135	Burles, William	
136	Burne, John	
137	Burton, Capt	
138	Bushell, Thomas	
139	Butler, Francis	
140	Butler, John	
141	Butler, William	
142	Byfield, Adoniram	Q4684522
143	Cannon, Peter	
144	Cardwell, Thomas	
145	Carey, Francis (lifeguard)	
146	Carey, Francis, Ensign	
147	Carey, Henry	
148	Carey, Horatio	
149	Carleton, Samuel	
150	Carlton, John	
151	Carmichell, John	
152	Caroll, Humphrey	
153	Carr, Gilbert	
154	Carr, John	
155	Carr, William, Capt	
156	Carr, William, Colonel	
157	Castle, John	
158	Cavalier, Isaac	
159	Chambers, Arthur	
160	Chambers, Hannibal	
161	Chambers, Robert	
162	Chancy, Jeremy	
163	Charlot, James	
164	Cheese, William	
165	Chetwood, Thomas	
166	Cheyney, Alexander	
167	Chichester, Charles	
168	Chisam, John	
169	Cholmley, Henry, Sir	Q5719387
170	Chudleigh, George, Sir	Q7526853
171	Church, William	
172	Clarke, Edward	
173	Clarke, Major	
174	Clay, Roger	
175	Clement, Thomas	
176	Clinie, Alexander	
177	Close, Ensign	
178	Cludd, Edward	
179	Clulo, John	
180	Coake, Nicholas	
181	Cobbet, Robert	
182	Cockaine, Joseph	
183	Cockaine, Richard	
184	Coffe, William	
185	Collingwood, Peter	
186	Collins, William	
187	Constable, William, Sir	Q7529540
188	Cony, Henry	
189	Cooke, Edward	
190	Cooke, James	
191	Cooke, Thomas	
192	Cooper, Marmaduke	
193	Copley, John, Captain	
194	Copley, John, Mr	
195	Copley, Lionel	
196	Cosby, Arnold	
197	Cotsford, Ralph	
198	Cotton, Philip	
199	Covell, William	
200	Cox, Alban	
201	Coysh, Obediah	
202	Cracroft, Captain	
203	Cremer, Jacob	
204	Crewe, John	
205	Cromwell, Oliver (Lord Protector)	Q44279
206	Cromwell, Oliver (not Lord Protector)	
207	Crookshank, John	
208	Crosby (husband of Lady Crosby)	
209	Crosby, Lady	
210	Cross, Richard	
211	Crossley, Henry	
212	Crowther, Thomas	
213	Cunningham, Adam	
214	Dalbeir, John	Q6228397
215	Daniel, Elizabeth	
216	Daniel, John	
217	Davers, Capt	
218	Davies, William	
219	de Bois, Gertrude	
220	de Bois, Philibert Emanuel	
221	de La Hay, John	
222	de La Hay, Mrs	
223	de Morgey, William	
224	de Morque, Isaac	
225	Deane, Richard	Q7325150
226	Delaman, QMG	
227	Denbigh, Earl of	Q4867155
228	Denton, Walter	
229	Devereux, Nicholas	
