RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1,2-0829-01,2,829,1,,,John,Barcroft,senior,merchant,Chard,Somerset,,,,
2,2-0829-02,2,829,2,,,Robert,Molineux,senior,,the Woods,Lancashire,,,,
3,2-0830-01,2,830,1,,,Thomas,Willis,,clerk of the crown in Chancery,Ash,Hampshire,,,,
4,2-0830-01,2,830,1,,,John,Bolles,,clerk of the crown in Chancery,,,,,,
5,2-0831-01,2,831,1,,Sir,Edward,Dering,bart,,,,,,,
6,2-0832-01,2,832,1,,,Mildmay,,Earl of Westmoreland,,,,,,,
7,2-0832-02,2,832,2,,,David,Skipwith,,,Utterby,Lincolnshire,,,,
8,2-0832-02,2,832,2,,,John,Rudston,,,Utterby,Lincolnshire,,,,
9,2-0833-01,2,833,1,,,Nicholas,Blincoe,,,Waltham Abbey,Essex,,,,
10,2-0833-02,2,833,2,,Sir,Thomas,Bowyer,bart,,Leighthorne,Sussex,,,,
11,2-0834-01,2,834,1,,,Thomas,May,,,Raumer,Sussex,,,,
12,2-0835-01,2,835,1,,Sir,Thomas,Bishop,,,Stickford,Lincolnshire,Hemswell,Lincolnshire,,
13,2-0835-02,2,835,2,,Sir,George,Grimes,,,Camberwell,Surrey,,,,
14,2-0835-02,2,835,2,,Sir,Thomas,Grimes,,,Camberwell,Surrey,,,,
15,2-0835-03,2,835,3,,Sir,Richard,Halford,bart,,Wistow,Leicestershire,,,,
16,2-0837-01,2,837,1,,Sir,Francis,Leigh,,,,Surrey,,,,
17,2-0837-02,2,837,2,,Sir,John,Morley,,,Chichester,Sussex,,,,
18,2-0838-01,2,838,1,,,Richard,Williams,,late town clerk,Chichester,Sussex,,,,
19,2-0839-01,2,839,1,,Sir,Anthony Ashley,Cooper,bart,,Wimborne St Giles,Dorset,,,,
20,2-0839-02,2,839,2,,,John,,Earl of Thanet,,Tufton,Sussex,,,,
21,2-0840-01,2,840,1,,Sir,Robert,de Grey,,,,,,,,
22,2-0840-02,2,840,2,,Sir,John,Baker,bart,,Sissinghurst,Kent,,,,
23,2-0841-01,2,841,1,,Sir,Francis,Carew,,,Beddington,Surrey,,,,
24,2-0841-02,2,841,2,,,Jeremiah,Beck,,,Castle Acre,Norfolk,,,,
25,2-0842-01,2,842,1,,,Francis,Nevill,,,Chevet,Yorkshire,,,,
26,2-0843-01,2,843,1,,,Edward,Brookes,,,Liversedge,Yorkshire,Broadcarr,Yorkshire,,
27,2-0844-01,2,844,1,,,John,Freeman,,,Chelmsford,Essex,,,,
28,2-0845-01,2,845,1,,,John,Le Hunt,,,Little Bradley,Suffolk,,,,
29,2-0845-02,2,845,2,,,William,Le Hunt,,,Little Bradley,Suffolk,,,,
30,2-0845-03,2,845,3,,,John,Penning,,,Old Buckenham,Norfolk,,,,
31,2-0846-01,2,846,1,,,Edward,Russell,,brother of the Earl of Bedford,Woburn,Bedfordshire,,,,
32,2-0846-02,2,846,2,,,George,Bruges or Brydges,Lord Chandos,,Sudeley Castle,Gloucestershire,,,,
33,2-0846-02,2,846,2,,,William,Brydges,,brother of Lord Chandos,Uxbridge,Middlesex,,,,
34,2-0847-01,2,847,1,,,George,Bromley,,,Waterford Hall,Hertfordshire,,,,
